Mathematics,Chemistry,Biology,Physics,Geography,English,Field_of_Interest,Course
C,F,C,B,A,D,Solar Electricity,Electrical and Renewable Energy
D,D,A,D,C,B,Solar Electricity,Electrical and Renewable Energy
F,A,C,C,C,D,Electronics,Electronics and Telecommunication Engineering
F,B,C,F,B,B,Electronics,Electronics and Telecommunication Engineering
D,F,C,B,A,D,Networks,Electrical and Computer Engineering
A,F,B,B,B,F,Computer,Electrical and Computer Engineering
A,F,B,C,B,D,Computer,Electrical and Computer Engineering
A,F,B,B,D,B,Networks,Electrical and Computer Engineering
D,D,D,D,A,C,Solar Electricity,Electrical and Renewable Energy
A,A,A,D,B,D,Electronics,Electronics and Telecommunication Engineering
C,F,F,A,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,C,C,C,C,Solar Electricity,Electrical and Renewable Energy
C,B,B,B,A,D,Computer,Electrical and Computer Engineering
A,C,A,F,D,D,Electronics,Electronics and Telecommunication Engineering
C,F,C,D,B,F,Networks,Electrical and Computer Engineering
A,F,D,C,F,B,Solar Electricity,Electrical and Renewable Energy
D,F,F,C,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,C,D,C,C,Solar Electricity,Electrical and Renewable Energy
D,F,F,A,F,C,Networks,Electrical and Computer Engineering
D,B,C,C,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,D,B,C,B,Solar Electricity,Electrical and Renewable Energy
A,A,A,F,C,C,Networks,Electrical and Computer Engineering
F,C,F,F,C,F,Solar Electricity,Unknown
A,B,F,D,B,C,Electronics,Electronics and Telecommunication Engineering
F,F,A,C,B,B,Solar Electricity,Electrical and Renewable Energy
A,A,F,F,C,A,Networks,Electrical and Computer Engineering
D,D,B,C,D,F,Computer,Electrical and Computer Engineering
C,D,A,D,C,F,Networks,Electrical and Computer Engineering
C,D,D,A,A,A,Solar Electricity,Electrical and Renewable Energy
B,F,C,F,D,F,Electronics,Electronics and Telecommunication Engineering
F,F,C,B,A,F,Computer,Electrical and Computer Engineering
F,C,A,D,F,F,Networks,Electrical and Computer Engineering
F,C,B,A,F,C,Computer,Electrical and Computer Engineering
D,C,D,B,B,C,Electronics,Electronics and Telecommunication Engineering
F,D,C,B,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,C,F,B,D,Computer,Electrical and Computer Engineering
D,D,B,C,F,C,Networks,Electrical and Computer Engineering
A,C,F,D,A,F,Electronics,Electronics and Telecommunication Engineering
F,F,A,B,D,B,Networks,Electrical and Computer Engineering
F,B,B,F,B,A,Electronics,Electronics and Telecommunication Engineering
A,A,B,A,F,D,Networks,Electrical and Computer Engineering
F,A,B,B,B,F,Electronics,Electronics and Telecommunication Engineering
A,C,B,A,C,D,Solar Electricity,Electrical and Renewable Energy
D,D,F,D,D,B,Networks,Electrical and Computer Engineering
C,B,D,F,A,F,Electronics,Electronics and Telecommunication Engineering
A,F,B,A,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,B,C,C,B,Electronics,Electronics and Telecommunication Engineering
A,C,A,A,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,C,A,D,F,Computer,Electrical and Computer Engineering
D,C,F,F,F,F,Electronics,Unknown
D,A,B,F,F,A,Computer,Electrical and Computer Engineering
A,A,D,B,B,A,Computer,Electrical and Computer Engineering
C,D,D,A,B,A,Solar Electricity,Electrical and Renewable Energy
B,B,D,A,F,C,Electronics,Electronics and Telecommunication Engineering
D,F,A,F,A,F,Solar Electricity,Electrical and Renewable Energy
F,C,D,C,A,F,Solar Electricity,Electrical and Renewable Energy
F,F,A,F,C,D,Computer,Electrical and Computer Engineering
C,A,F,C,D,C,Networks,Electrical and Computer Engineering
D,B,D,F,A,A,Computer,Electrical and Computer Engineering
A,B,C,D,B,F,Computer,Electrical and Computer Engineering
F,F,B,A,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,F,C,D,B,Networks,Electrical and Computer Engineering
D,F,C,D,B,C,Computer,Electrical and Computer Engineering
D,D,F,C,D,A,Networks,Electrical and Computer Engineering
D,B,D,B,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,F,B,D,F,Networks,Electrical and Computer Engineering
D,D,F,A,D,B,Electronics,Electronics and Telecommunication Engineering
F,A,F,D,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,B,A,D,B,B,Networks,Electrical and Computer Engineering
D,C,C,B,D,C,Solar Electricity,Electrical and Renewable Energy
B,C,D,A,D,B,Networks,Electrical and Computer Engineering
B,A,B,B,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,D,D,B,C,Solar Electricity,Electrical and Renewable Energy
A,F,D,C,D,C,Networks,Electrical and Computer Engineering
A,A,A,D,A,F,Networks,Electrical and Computer Engineering
A,F,A,A,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,F,D,A,D,Solar Electricity,Electrical and Renewable Energy
A,C,D,F,F,B,Solar Electricity,Electrical and Renewable Energy
F,D,C,D,F,D,Networks,Electrical and Computer Engineering
D,C,A,F,B,D,Electronics,Electronics and Telecommunication Engineering
B,D,A,B,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,C,F,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,A,D,B,D,Computer,Electrical and Computer Engineering
D,B,C,D,A,C,Solar Electricity,Electrical and Renewable Energy
B,B,B,D,A,A,Solar Electricity,Electrical and Renewable Energy
A,D,C,A,C,F,Computer,Electrical and Computer Engineering
A,D,B,B,B,D,Networks,Electrical and Computer Engineering
F,C,F,F,B,F,Networks,Unknown
F,B,F,C,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,A,F,D,F,Networks,Electrical and Computer Engineering
C,F,C,D,A,C,Electronics,Electronics and Telecommunication Engineering
C,B,A,C,D,F,Electronics,Electronics and Telecommunication Engineering
F,F,C,C,C,A,Electronics,Electronics and Telecommunication Engineering
D,A,A,F,B,B,Computer,Electrical and Computer Engineering
A,C,F,F,D,C,Electronics,Electronics and Telecommunication Engineering
F,D,F,F,B,B,Computer,Electrical and Computer Engineering
F,B,A,F,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,C,B,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,D,A,B,D,Electronics,Electronics and Telecommunication Engineering
C,A,C,A,D,F,Computer,Electrical and Computer Engineering
D,B,A,F,D,A,Electronics,Electronics and Telecommunication Engineering
D,F,C,A,C,A,Networks,Electrical and Computer Engineering
A,A,B,F,D,D,Computer,Electrical and Computer Engineering
B,D,C,F,A,B,Computer,Electrical and Computer Engineering
F,B,F,F,B,F,Computer,Unknown
F,B,F,B,A,D,Computer,Electrical and Computer Engineering
A,A,B,D,C,B,Networks,Electrical and Computer Engineering
B,B,C,A,A,F,Electronics,Electronics and Telecommunication Engineering
C,D,D,A,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,C,B,B,A,Solar Electricity,Electrical and Renewable Energy
A,F,F,B,B,F,Solar Electricity,Electrical and Renewable Energy
F,A,F,F,F,A,Computer,Unknown
A,A,A,F,A,A,Computer,Electrical and Computer Engineering
A,F,F,D,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,A,A,A,D,Solar Electricity,Electrical and Renewable Energy
F,C,F,B,A,B,Computer,Electrical and Computer Engineering
C,C,F,D,C,F,Networks,Electrical and Computer Engineering
C,F,D,A,C,A,Solar Electricity,Electrical and Renewable Energy
A,D,A,D,A,B,Networks,Electrical and Computer Engineering
F,B,A,D,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,F,F,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,A,D,A,F,Solar Electricity,Electrical and Renewable Energy
C,D,F,F,C,F,Electronics,Electronics and Telecommunication Engineering
F,A,F,A,B,C,Solar Electricity,Electrical and Renewable Energy
F,D,C,A,A,B,Networks,Electrical and Computer Engineering
A,D,A,F,A,F,Electronics,Electronics and Telecommunication Engineering
D,C,B,C,C,A,Networks,Electrical and Computer Engineering
C,C,A,D,B,A,Networks,Electrical and Computer Engineering
D,B,A,A,A,C,Networks,Electrical and Computer Engineering
F,B,D,D,A,A,Computer,Electrical and Computer Engineering
F,F,B,C,F,F,Electronics,Unknown
F,A,B,D,A,B,Computer,Electrical and Computer Engineering
D,B,D,C,F,C,Computer,Electrical and Computer Engineering
F,C,D,B,F,C,Networks,Electrical and Computer Engineering
A,D,A,C,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,C,A,D,D,Solar Electricity,Electrical and Renewable Energy
B,B,D,F,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,B,F,B,B,Networks,Electrical and Computer Engineering
B,D,B,D,C,C,Solar Electricity,Electrical and Renewable Energy
F,B,A,B,F,F,Solar Electricity,Electrical and Renewable Energy
A,A,C,D,D,F,Networks,Electrical and Computer Engineering
C,A,F,C,C,D,Computer,Electrical and Computer Engineering
F,F,D,F,F,B,Solar Electricity,Unknown
A,A,D,C,F,B,Solar Electricity,Electrical and Renewable Energy
D,F,A,F,D,F,Solar Electricity,Electrical and Renewable Energy
B,C,C,F,A,D,Solar Electricity,Electrical and Renewable Energy
B,B,B,F,D,F,Electronics,Electronics and Telecommunication Engineering
B,D,B,A,B,F,Computer,Electrical and Computer Engineering
D,F,F,C,B,C,Electronics,Electronics and Telecommunication Engineering
A,A,B,D,D,B,Electronics,Electronics and Telecommunication Engineering
D,F,D,B,D,C,Networks,Electrical and Computer Engineering
B,F,F,D,D,C,Computer,Electrical and Computer Engineering
F,A,C,C,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,F,B,D,D,Computer,Electrical and Computer Engineering
D,B,C,D,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,B,B,C,D,Solar Electricity,Electrical and Renewable Energy
A,B,A,C,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,F,F,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,F,C,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,D,A,D,F,Solar Electricity,Electrical and Renewable Energy
C,D,D,B,C,D,Solar Electricity,Electrical and Renewable Energy
A,F,C,C,D,A,Electronics,Electronics and Telecommunication Engineering
B,B,A,F,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,D,F,A,D,Computer,Electrical and Computer Engineering
A,B,D,C,B,A,Networks,Electrical and Computer Engineering
B,F,B,D,B,A,Electronics,Electronics and Telecommunication Engineering
B,B,B,C,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,D,F,C,C,Electronics,Electronics and Telecommunication Engineering
C,D,C,C,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,A,A,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,D,D,D,C,Electronics,Electronics and Telecommunication Engineering
B,D,C,C,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,C,F,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,D,C,B,A,Networks,Electrical and Computer Engineering
A,A,C,C,B,D,Computer,Electrical and Computer Engineering
D,A,F,B,C,A,Solar Electricity,Electrical and Renewable Energy
C,B,C,C,D,A,Networks,Electrical and Computer Engineering
D,D,D,A,F,F,Solar Electricity,Electrical and Renewable Energy
C,A,C,F,A,F,Solar Electricity,Electrical and Renewable Energy
F,B,D,B,F,B,Computer,Electrical and Computer Engineering
B,B,B,C,A,C,Networks,Electrical and Computer Engineering
F,B,D,D,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,C,A,C,F,Computer,Electrical and Computer Engineering
B,A,D,A,F,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,A,A,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,D,B,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,D,C,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,A,A,C,D,Networks,Electrical and Computer Engineering
C,A,A,C,B,C,Solar Electricity,Electrical and Renewable Energy
A,C,A,D,C,F,Solar Electricity,Electrical and Renewable Energy
F,F,F,C,A,D,Networks,Electrical and Computer Engineering
B,B,D,C,B,B,Solar Electricity,Electrical and Renewable Energy
F,D,A,C,C,B,Computer,Electrical and Computer Engineering
F,C,A,F,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,B,B,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,F,C,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,D,A,B,F,Electronics,Electronics and Telecommunication Engineering
D,B,C,F,D,C,Computer,Electrical and Computer Engineering
F,A,F,C,D,C,Electronics,Electronics and Telecommunication Engineering
C,D,F,F,C,F,Networks,Electrical and Computer Engineering
B,D,B,B,B,D,Electronics,Electronics and Telecommunication Engineering
D,D,D,F,D,C,Solar Electricity,Electrical and Renewable Energy
C,F,D,A,C,F,Solar Electricity,Electrical and Renewable Energy
F,D,A,C,D,C,Computer,Electrical and Computer Engineering
A,A,A,A,B,A,Electronics,Electronics and Telecommunication Engineering
F,A,F,D,D,B,Electronics,Electronics and Telecommunication Engineering
B,D,B,F,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,D,F,D,F,Computer,Electrical and Computer Engineering
D,C,B,F,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,C,B,A,D,Computer,Electrical and Computer Engineering
C,B,D,A,B,F,Computer,Electrical and Computer Engineering
C,F,A,D,F,D,Electronics,Electronics and Telecommunication Engineering
D,D,F,B,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,B,B,D,C,Networks,Electrical and Computer Engineering
A,C,A,C,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,F,D,F,B,Networks,Electrical and Computer Engineering
B,B,A,F,C,B,Solar Electricity,Electrical and Renewable Energy
C,A,D,F,B,C,Computer,Electrical and Computer Engineering
A,C,B,C,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,C,F,D,A,Computer,Electrical and Computer Engineering
D,A,A,A,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,B,F,D,A,Solar Electricity,Electrical and Renewable Energy
B,F,D,A,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,A,C,D,C,Solar Electricity,Electrical and Renewable Energy
F,F,D,C,B,A,Computer,Electrical and Computer Engineering
D,F,C,A,F,D,Electronics,Electronics and Telecommunication Engineering
F,F,C,F,B,A,Networks,Electrical and Computer Engineering
A,D,F,C,B,B,Computer,Electrical and Computer Engineering
A,D,F,C,C,A,Electronics,Electronics and Telecommunication Engineering
D,F,F,A,C,C,Computer,Electrical and Computer Engineering
C,A,D,C,F,C,Computer,Electrical and Computer Engineering
F,F,F,F,C,B,Domestic and Industrial Electricity,Unknown
B,B,B,C,F,F,Solar Electricity,Electrical and Renewable Energy
D,F,D,A,D,B,Solar Electricity,Electrical and Renewable Energy
B,D,D,F,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,F,D,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,B,F,A,D,C,Computer,Electrical and Computer Engineering
C,B,D,D,C,F,Solar Electricity,Electrical and Renewable Energy
C,C,C,C,A,A,Computer,Electrical and Computer Engineering
C,A,C,F,B,A,Electronics,Electronics and Telecommunication Engineering
A,A,F,C,F,B,Electronics,Electronics and Telecommunication Engineering
A,A,C,F,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,B,B,B,A,Solar Electricity,Electrical and Renewable Energy
B,A,B,C,B,C,Electronics,Electronics and Telecommunication Engineering
D,C,B,C,B,B,Solar Electricity,Electrical and Renewable Energy
D,C,D,C,D,D,Solar Electricity,Electrical and Renewable Energy
A,A,D,A,F,C,Networks,Electrical and Computer Engineering
D,B,D,F,B,D,Electronics,Electronics and Telecommunication Engineering
A,C,D,F,B,C,Electronics,Electronics and Telecommunication Engineering
F,B,D,F,B,F,Computer,Electrical and Computer Engineering
B,D,F,A,D,D,Computer,Electrical and Computer Engineering
F,C,C,F,C,F,Solar Electricity,Electrical and Renewable Energy
C,B,F,C,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,C,D,B,B,Computer,Electrical and Computer Engineering
C,D,F,B,B,B,Computer,Electrical and Computer Engineering
F,F,B,F,B,A,Solar Electricity,Electrical and Renewable Energy
D,F,A,A,D,D,Electronics,Electronics and Telecommunication Engineering
B,A,D,A,C,A,Computer,Electrical and Computer Engineering
C,D,A,F,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,A,D,B,B,Solar Electricity,Electrical and Renewable Energy
C,D,B,F,D,B,Electronics,Electronics and Telecommunication Engineering
B,D,A,A,F,B,Networks,Electrical and Computer Engineering
C,F,A,B,F,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,B,D,C,B,Electronics,Electronics and Telecommunication Engineering
C,D,C,F,F,A,Solar Electricity,Electrical and Renewable Energy
F,B,F,B,B,F,Networks,Electrical and Computer Engineering
F,D,A,F,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,D,D,B,F,Computer,Electrical and Computer Engineering
F,C,B,A,B,A,Computer,Electrical and Computer Engineering
B,C,A,D,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,C,C,F,B,Computer,Electrical and Computer Engineering
F,B,C,F,F,A,Solar Electricity,Electrical and Renewable Energy
B,F,D,B,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,A,B,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,D,D,D,A,Computer,Electrical and Computer Engineering
C,D,C,D,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,C,D,B,F,Networks,Electrical and Computer Engineering
B,C,F,B,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,C,A,B,D,Computer,Electrical and Computer Engineering
A,D,B,B,F,F,Computer,Electrical and Computer Engineering
A,F,F,A,B,F,Computer,Electrical and Computer Engineering
F,D,D,D,A,B,Computer,Electrical and Computer Engineering
F,D,C,C,B,D,Solar Electricity,Electrical and Renewable Energy
C,C,B,B,F,D,Computer,Electrical and Computer Engineering
D,F,F,D,C,C,Networks,Electrical and Computer Engineering
A,A,B,B,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,F,D,A,A,Electronics,Electronics and Telecommunication Engineering
D,F,F,B,C,B,Electronics,Electronics and Telecommunication Engineering
F,B,F,F,D,A,Solar Electricity,Electrical and Renewable Energy
F,C,D,B,C,D,Electronics,Electronics and Telecommunication Engineering
A,B,F,F,B,B,Computer,Electrical and Computer Engineering
A,C,F,A,B,C,Electronics,Electronics and Telecommunication Engineering
F,D,B,B,D,F,Networks,Electrical and Computer Engineering
B,F,F,A,D,A,Computer,Electrical and Computer Engineering
F,B,D,C,B,F,Electronics,Electronics and Telecommunication Engineering
F,C,B,F,B,D,Computer,Electrical and Computer Engineering
C,B,F,B,D,D,Solar Electricity,Electrical and Renewable Energy
C,C,B,A,D,D,Networks,Electrical and Computer Engineering
C,C,D,D,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,B,A,F,D,Computer,Electrical and Computer Engineering
B,A,D,B,F,D,Networks,Electrical and Computer Engineering
F,A,C,C,B,F,Solar Electricity,Electrical and Renewable Energy
C,B,F,F,F,D,Solar Electricity,Electrical and Renewable Energy
B,D,D,D,A,A,Networks,Electrical and Computer Engineering
A,C,F,A,B,B,Electronics,Electronics and Telecommunication Engineering
F,F,D,B,A,A,Networks,Electrical and Computer Engineering
D,A,A,B,C,D,Electronics,Electronics and Telecommunication Engineering
F,B,A,F,A,D,Electronics,Electronics and Telecommunication Engineering
D,B,A,D,C,D,Networks,Electrical and Computer Engineering
C,B,D,A,A,D,Solar Electricity,Electrical and Renewable Energy
D,F,F,A,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,A,A,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,F,F,B,F,Networks,Electrical and Computer Engineering
D,F,D,F,D,F,Computer,Unknown
F,A,F,D,D,D,Networks,Electrical and Computer Engineering
C,F,F,A,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,A,A,C,A,Networks,Electrical and Computer Engineering
B,F,B,D,D,C,Solar Electricity,Electrical and Renewable Energy
C,A,C,D,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,D,D,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,D,B,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,D,D,B,C,Solar Electricity,Electrical and Renewable Energy
A,B,C,C,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,B,B,F,C,C,Computer,Electrical and Computer Engineering
D,A,F,D,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,D,B,D,A,Networks,Electrical and Computer Engineering
A,C,F,C,A,A,Computer,Electrical and Computer Engineering
B,C,A,B,B,C,Electronics,Electronics and Telecommunication Engineering
C,B,A,B,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,A,B,A,A,Electronics,Electronics and Telecommunication Engineering
F,D,D,B,A,D,Electronics,Electronics and Telecommunication Engineering
D,C,C,A,A,A,Solar Electricity,Electrical and Renewable Energy
F,C,D,F,D,A,Networks,Electrical and Computer Engineering
A,D,A,A,C,B,Networks,Electrical and Computer Engineering
F,A,A,C,D,B,Electronics,Electronics and Telecommunication Engineering
D,C,D,A,A,A,Solar Electricity,Electrical and Renewable Energy
C,A,C,C,D,D,Computer,Electrical and Computer Engineering
C,C,C,D,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,F,C,B,C,Computer,Electrical and Computer Engineering
B,C,B,A,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,A,A,F,A,Electronics,Electronics and Telecommunication Engineering
F,A,C,C,B,A,Solar Electricity,Electrical and Renewable Energy
D,C,A,A,B,A,Solar Electricity,Electrical and Renewable Energy
F,B,B,C,D,D,Networks,Electrical and Computer Engineering
C,B,A,B,D,F,Networks,Electrical and Computer Engineering
D,D,C,F,C,C,Computer,Electrical and Computer Engineering
F,B,F,C,F,C,Networks,Electrical and Computer Engineering
A,F,D,B,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,D,B,C,A,Solar Electricity,Electrical and Renewable Energy
A,B,C,B,F,C,Solar Electricity,Electrical and Renewable Energy
B,B,C,B,C,D,Electronics,Electronics and Telecommunication Engineering
D,C,B,C,C,F,Electronics,Electronics and Telecommunication Engineering
A,D,A,A,B,D,Computer,Electrical and Computer Engineering
C,A,B,B,A,A,Electronics,Electronics and Telecommunication Engineering
C,D,D,D,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,A,B,A,D,Networks,Electrical and Computer Engineering
D,C,B,A,C,F,Networks,Electrical and Computer Engineering
D,C,D,A,D,A,Computer,Electrical and Computer Engineering
D,B,A,F,A,C,Networks,Electrical and Computer Engineering
B,B,F,F,D,C,Solar Electricity,Electrical and Renewable Energy
D,F,F,B,F,A,Networks,Electrical and Computer Engineering
C,C,B,B,A,A,Electronics,Electronics and Telecommunication Engineering
A,A,C,F,C,A,Solar Electricity,Electrical and Renewable Energy
C,D,A,B,B,D,Electronics,Electronics and Telecommunication Engineering
C,C,B,D,C,B,Electronics,Electronics and Telecommunication Engineering
A,A,C,C,D,C,Computer,Electrical and Computer Engineering
C,A,C,F,F,D,Computer,Electrical and Computer Engineering
B,D,A,F,C,F,Solar Electricity,Electrical and Renewable Energy
A,A,A,A,B,C,Networks,Electrical and Computer Engineering
C,F,C,B,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,D,F,F,F,Networks,Unknown
C,F,B,F,A,C,Solar Electricity,Electrical and Renewable Energy
B,A,A,D,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,C,B,C,A,Electronics,Electronics and Telecommunication Engineering
C,A,D,C,B,B,Electronics,Electronics and Telecommunication Engineering
D,F,F,D,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,C,C,C,B,Electronics,Electronics and Telecommunication Engineering
C,A,D,A,B,C,Networks,Electrical and Computer Engineering
A,A,F,F,D,C,Computer,Electrical and Computer Engineering
D,F,D,D,A,B,Networks,Electrical and Computer Engineering
F,A,A,C,A,B,Electronics,Electronics and Telecommunication Engineering
A,D,C,B,B,F,Computer,Electrical and Computer Engineering
A,D,F,A,B,F,Networks,Electrical and Computer Engineering
A,F,D,A,A,D,Electronics,Electronics and Telecommunication Engineering
A,B,F,F,B,C,Networks,Electrical and Computer Engineering
C,D,B,F,F,F,Electronics,Electronics and Telecommunication Engineering
C,C,C,C,C,D,Solar Electricity,Electrical and Renewable Energy
C,D,A,C,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,F,A,D,D,Electronics,Electronics and Telecommunication Engineering
F,F,D,C,B,F,Networks,Electrical and Computer Engineering
F,B,F,F,B,D,Electronics,Electronics and Telecommunication Engineering
B,C,D,A,D,B,Electronics,Electronics and Telecommunication Engineering
F,C,F,A,C,D,Networks,Electrical and Computer Engineering
C,D,A,B,A,A,Networks,Electrical and Computer Engineering
C,C,A,B,F,A,Computer,Electrical and Computer Engineering
B,F,C,C,C,D,Electronics,Electronics and Telecommunication Engineering
B,F,A,C,A,A,Solar Electricity,Electrical and Renewable Energy
F,F,F,F,A,D,Domestic and Industrial Electricity,Unknown
D,D,F,F,B,D,Electronics,Electronics and Telecommunication Engineering
B,B,A,B,D,D,Networks,Electrical and Computer Engineering
A,D,B,A,B,A,Computer,Electrical and Computer Engineering
C,F,F,D,D,C,Electronics,Electronics and Telecommunication Engineering
A,D,C,D,B,D,Solar Electricity,Electrical and Renewable Energy
C,F,B,C,F,D,Networks,Electrical and Computer Engineering
C,A,A,D,B,B,Solar Electricity,Electrical and Renewable Energy
B,A,D,D,F,B,Solar Electricity,Electrical and Renewable Energy
B,C,F,B,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,D,A,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,C,F,B,C,Electronics,Electronics and Telecommunication Engineering
A,F,B,B,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,D,F,A,D,Electronics,Electronics and Telecommunication Engineering
A,D,C,B,F,A,Electronics,Electronics and Telecommunication Engineering
F,C,D,B,D,F,Networks,Electrical and Computer Engineering
A,D,D,D,F,F,Networks,Electrical and Computer Engineering
F,A,C,F,B,B,Computer,Electrical and Computer Engineering
F,D,F,B,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,D,D,C,F,Computer,Electrical and Computer Engineering
D,A,C,C,A,F,Solar Electricity,Electrical and Renewable Energy
A,B,D,F,C,C,Electronics,Electronics and Telecommunication Engineering
A,C,F,B,B,B,Electronics,Electronics and Telecommunication Engineering
